"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"jim howard","4111610","2014","or","South Umpqua SD 19","Jim Howard","2004830","2021-2024","ks","North Jackson","Jim Howard"
"mike scott","4100023","2012-2018, 2020-2021","or","Hillsboro SD 1J","Mike Scott","4800159","2015-2024","tx","Erath Excels Academy Inc","Johnny Scott"
"michael johnson","4103690","2018, 2020-2023","or","Creswell SD 40","Michael Johnson","5504050","2020-2024","wi","Eau Claire Area School District","Michael Johnson"
"michael johnson","4103690","2018, 2020-2023","or","Creswell SD 40","Michael Johnson","514500","2024","ar","Institute For The Creative Arts School","JOHNSON, MICHAEL B."
"kevin miller","4113490","2012-2018, 2020","or","Winston-Dillard SD 116","Kevin Miller","2608160","2014","mi","Carsonville","Kevin Miller"
"donald martin","4210350","2009","pa","Frazier SD","DONALD MARTIN","3703210","2015","nc","Mount Airy City Schools","Donald Martin"
"patrick hefflin","4211160","2010-2012","pa","School District","PATRICK HEFFLIN","619110","2015-2019","ca","Julian Union High","Patrick Hefflin"
"john allison","4216110","2008","pa","Mt Lebanon SD","JOHN ALLISON","4825260","2023","tx","Keller Isd","John Allison"
"patricia green","4217010","2008-2010","pa","North Allegheny SD","PATRICIA GREEN","2602820","2011-2012","mi","Ann Arbor","Patricia Green"
"bryan mcgraw","4217310","2010-2020","pa","School District","BRYAN MCGRAW","2916190","2023-2024","mo","Jefferson City","BRYAN MCGRAW"
"michael thomas","4215570","2008","pa","Monaca SD","Michael Thomas","1200450","2017-2022","fl","Dixie","THOMAS, MICHAEL"
"ian roberts","4215330","2020-2022","pa","Millcreek Township SD","IAN ROBERTS","1908970","2023-2024","ia","Des Moines Independent Comm School District","Ian Roberts"
"william miller","4224030","2008-2012","pa","Tyrone Area SD","William Miller","2622980","2011-2012","mi","Martin","William Miller"
"donald lee","4221200","2008-2010","pa","Shaler Area SD","DONALD LEE","4812090","2019-2021","tx","Buna Isd","Donald Lee"
"john thomas","4701680","2011-2012","tn","Hardin County","Mr. John O. Thomas","1800690","2012, 2014-2017","in","North Harrison Com School Corp","Mr John Thomas"
"justin robertson","4701590","2021-2022","tn","Hamilton County","Dr. Justin Robertson","512060","2024","ar","Russellville School District","ROBERTSON, JUSTIN T."
"james jones","4703450","2011-2022","tn","Polk County","Mr. James Jones","500076","2013-2014, 2016-2017","ar","Ozark Mountain School District","Jones, James H."
"kriner cash","4700148","2011-2012","tn",NA,"Mr. Kriner Cash","3605850","2015-2021","ny","Buffalo City Sd","Dr. Kriner Cash"
"michael davis","4701680","2013-2022","tn","Hardin County","Mr. Michael Davis","3618080","2017-2019","ny","Madison Csd","MICHAEL DAVIS"
"mike jones","4701230","2011-2021","tn","Fentress County","Mr. Mike Jones","4011430","2016-2024","ok","Fargo","Mike Jones"
"eric williams","4704490","2011-2019","tn","West Carroll","Mr. Eric Williams","4814280","2021-2022","tx","Clear Creek Isd","Eric Williams"
