"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"albert byrom","4839000","2022-2023","tx","San Perlita Isd","Albert Byrom","4835550","2024","tx","Poth Isd","Albert Byrom"
"albert snow","506210","2013-2014, 2016","ar","Fordyce School District","SNOW, ALBERT","507290","2017-2024","ar","Harmony Grove School District","Snow, Albert"
"albert snow","510620","2009-2012","ar","Norphlet School District","SNOW, ALBERT L.","506210","2013-2014, 2016","ar","Fordyce School District","SNOW, ALBERT"
"albert snow","510620","2009-2012","ar","Norphlet School District","SNOW, ALBERT L.","507290","2017-2024","ar","Harmony Grove School District","Snow, Albert"
"albert thomas","4813230","1990-1992","tx","Cedar Hill Isd","Albert Thomas","4816740","1993-1997","tx","Denton Isd","Albert Thomas"
"albert van hoose","4828230","2011","tx","Lorenzo Isd","Albert Van Hoose","4842090","2018-2020","tx","Tahoka Isd","Albert Van Hoose"
"alberta moore","3100020","2015","ne","Ewing Public Schools","Alberta Moore","3173170","2015","ne","Lynch Public Schools","Alberta Moore"
"alberta moore","3176380","2005","ne","Sandhills Public Schools","ALBERTA MOORE","3100020","2015","ne","Ewing Public Schools","Alberta Moore"
"alberta moore","3176380","2005","ne","Sandhills Public Schools","ALBERTA MOORE","3173170","2015","ne","Lynch Public Schools","Alberta Moore"
"alberta moore","3178450","2001-2003","ne","Wausa Public Schools","ALBERTA MOORE","3100020","2015","ne","Ewing Public Schools","Alberta Moore"
"alberta moore","3178450","2001-2003","ne","Wausa Public Schools","ALBERTA MOORE","3173170","2015","ne","Lynch Public Schools","Alberta Moore"
"alberta moore","3178450","2001-2003","ne","Wausa Public Schools","ALBERTA MOORE","3176380","2005","ne","Sandhills Public Schools","ALBERTA MOORE"
"alberto byington","4811580","1990-1995, 2009","tx","Brooks Isd","Alberto Byington","4809870","2000-2006","tx","Ben Bolt-Palito Blanco Ci","Alberto Byington"
"alberto byington","4811580","1990-1995, 2009","tx","Brooks Isd","Alberto Byington","4829400","1996","tx","Mathis Isd","Alberto Byington"
"alberto byington","4811580","1990-1995, 2009","tx","Brooks Isd","Alberto Byington","4838820","1998","tx","San Diego Isd","Alberto Byington"
"alberto byington","4829400","1996","tx","Mathis Isd","Alberto Byington","4809870","2000-2006","tx","Ben Bolt-Palito Blanco Ci","Alberto Byington"
"alberto byington","4829400","1996","tx","Mathis Isd","Alberto Byington","4838820","1998","tx","San Diego Isd","Alberto Byington"
"alberto byington","4838820","1998","tx","San Diego Isd","Alberto Byington","4809870","2000-2006","tx","Ben Bolt-Palito Blanco Ci","Alberto Byington"
"alberto gonzales","4815930","1999-2006","tx","Crystal City Isd","Alberto Gonzales","4812990","2018-2019","tx","Carrizo Springs Cisd","Alberto Gonzales"
"alberto gonzales","4815930","1999-2006","tx","Crystal City Isd","Alberto Gonzales","4819820","2008-2010","tx","Freer Isd","Alberto Gonzales"
"alberto gonzales","4819820","2008-2010","tx","Freer Isd","Alberto Gonzales","4812990","2018-2019","tx","Carrizo Springs Cisd","Alberto Gonzales"
"alda benavides","4826130","2006-2018","tx","La Joya Isd","Alda Benavides","4818060","2023-2024","tx","Edcouch-Elsa Isd","Alda Benavides"
"alejandro ruvalcaba","633570","2017-2021","ca","Rosemead Elementary","Alejandro Ruvalcaba","625800","2022","ca","Moreno Valley Unified","Alejandro Ruvalcaba"
"alene reuschel","1704830","2003-2006","il","Avon Comm Unit Sch Dist 176","ALENE REUSCHEL ","1723920","2007-2012","il","Macomb Cusd 185","Alene Reuschel"
"alex anemone","3406720","2011-2014","nj","Harding Township","Alex Anemone","3417520","2016-2017, 2019-2023","nj","West Milford Township Public School District","Alex Anemone"
"alex cherniss","629700","2017-2020","ca","Palos Verdes Peninsula Unified","Alex Cherniss","630660","2021-2022","ca","Placentia-Yorba Linda Unified","Alex Cherniss"
"alex cherniss","634860","2012-2016","ca","San Marino Unf","Alex Cherniss","629700","2017-2020","ca","Palos Verdes Peninsula Unified","Alex Cherniss"
"alex cherniss","634860","2012-2016","ca","San Marino Unf","Alex Cherniss","630660","2021-2022","ca","Placentia-Yorba Linda Unified","Alex Cherniss"
"alex geordan","3904588","2008-2010","oh","Pymatuning Valley Local","Alex G. Geordan","3904831","2012-2018","oh","Canfield Local","Alex G. Geordan"
"alex hammel","1800101","2018-2021","in","Career Academy High School","Alex Hammel","1800161","2018-2021","in","Success Academy Primary School","Alex Hammel"
"alex hammel","1800101","2018-2021","in","Career Academy High School","Alex Hammel","1800164","2018-2021","in","Career Academy Middle School","Alex Hammel"
"alex hammel","1800161","2018-2021","in","Success Academy Primary School","Alex Hammel","1800164","2018-2021","in","Career Academy Middle School","Alex Hammel"
"alexander anemone","3402520","2015","nj","Butler Public School District","Alexander Anemone","3413770","2024","nj","Ridgefield Boro","Dr. Alexander Anemone"
"alexandro flores","4834020","2016-2017","tx","Palacios Isd","Alexandro Flores","4840680","2018","tx","South San Antonio Isd","Alexandro Flores"
