"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"barbie mcmath","4821600","2015","tx","Grape Creek Isd","Barbie Mcmath","4845950","2022","tx","Wills Point Isd","Barbie Mcmath"
"charlie uselton","4820220","1990-1992","tx","Gainesville Isd","Charlie Uselton","4818070","1993","tx","Eden Cons Isd","Charlie Uselton"
"curtis williams","4822500","1990-1991","tx","Harleton Isd","Curtis Williams","4839960","1992-1996","tx","Shelbyville Isd","Curtis Williams"
"yolanda cruz","4800016","2000-2004","tx","Dallas Can Academy Charte","Yolanda Cruz","4800242","2003-2004","tx","Austin Can Academy Charte","Yolanda Cruz"
"michael stevens","4823010","2003-2007","tx","Hereford Isd","Michael Stevens","4813620","2019-2021","tx","Channing Isd","Michael Stevens"
"paula quick","4823160","2008-2009","tx","High Island Isd","Paula Quick","4812150","2010-2013","tx","Burkeville Isd","Paula Quick"
"lloyd graham","4841350","2003-2005","tx","Stafford Municipal School","Lloyd Graham","4826190","2008-2019","tx","La Porte Isd","Lloyd Graham"
"marshall harrison","4814760","2012","tx","Comanche Isd","Marshall Harrison","4810470","2015-2016","tx","Blooming Grove Isd","Marshall Harrison"
"mark lineburg","5100450","2010-2013","va","Bristol ","Dr. Mark Y. Lineburg","5104050","2014-2015","va","Winchester ","Dr. Mark Lineburg"
"stanley jones","5102070","2013-2014","va","King And Queen County","Dr. Stanley Jones","5101110","2015-2019","va","Danville ","Dr. Stanley B. Jones"
"peter noonan","5101230","2012-2013","va","Fairfax ","Dr. Peter J. Noonan","5101290","2017-2024","va","Falls Church ","Dr. Peter Noonan"
"walter clemons","5102710","2011-2013","va","Northampton County","Dr. Walter R Clemons","5101620","2014-2023","va","Gloucester County","Dr. Walter Clemons"
"jared cotton","5101920","2012-2017","va","Henry County","Dr. Jared A. Cotton","5100810","2018-2024","va","Chesapeake ","Dr. Jared A. Cotton"
"william sroufe","5102880","2013-2018","va","Patrick County","Dr. William D. Sroufe","5100960","2019-2022","va","Colonial Heights ","Dr. William D. Sroufe"
"jeremy raley","5103510","2013-2015","va","Shenandoah County","Dr. Jeremy J. Raley","5101650","2016-2022","va","Goochland County","Dr. Jeremy J. Raley"
"john keeler","5100560","2013-2021","va","Buena Vista ","Dr. John Keeler","5100540","2022-2024","va","Buckingham County Public Schools","Dr. John R. Keeler"
"kelly wilmore","5101020","2013-2014","va","Craig County","Mr. Kelly Wilmore","5101690","2015-2024","va","Grayson County","Mr. Kelly Wilmore"
"james kuchta","5500300","2015-2018","wi","Amery School District","James Kuchta","5505640","2020-2022","wi","Granton Area School District","JAMES KUCHTA"
"wayne anderson","5509990","2008-2012","wi","Mount Horeb Area School District","Wayne Anderson","5508910","2021","wi","Mcfarland School District","Wayne Anderson"
"randall refsland","5501560","2017-2018","wi","Bowler School District","Randall Refsland","5500450","2023-2024","wi","Argyle School District","Randall Refsland"
"laurie burgos","5504440","2021-2022","wi","Evansville Community School District","LAURIE BURGOS","5513800","2023-2024","wi","Shorewood School District","LAURIE BURGOS"
"timothy raymond","5515570","2011-2013","wi","Washington School District","Timothy Raymond","5502070","2014-2021","wi","Cambria-Friesland School District","Timothy Raymond"
"nancy hendrickson","5506420","2012-2019","wi","Highland School District","Nancy Hendrickson","5501310","2013-2014","wi","Pecatonica Area School District","Nancy Hendrickson"
"james gottinger","5507620","2008-2009","wi","Lake Geneva J1 School District","James Gottinger","5507650","2008-2021","wi","Lake Geneva-Genoa City Uhs School District","James Gottinger"
"wayne anderson","5516740","2013-2019","wi","Williams Bay School District","Wayne Anderson","5508910","2021","wi","Mcfarland School District","Wayne Anderson"
